Year,State,Electric (EV),Plug-In Hybrid Electric (PHEV),Hybrid Electric (HEV),Biodiesel,Ethanol/Flex (E85),Compressed Natural Gas (CNG),Propane,Hydrogen,Methanol,Gasoline,Diesel,Unknown Fuel
2020,Alabama,2900,2100,36300,0,567600,15100,0,0,0,3863500,154100,41600
2020,Alaska,900,400,6200,0,64000,2700,0,0,0,460900,39600,11400
2020,Arizona,28800,11200,115400,0,584800,13800,0,0,0,5202200,226000,103400
2020,Arkansas,1300,1100,22400,0,392800,7200,0,0,0,2093700,111100,15700
2020,California,425300,265500,1228700,0,1745100,75300,0,14000,300,29642700,825900,116700
2020,Colorado,24700,10800,96500,0,447000,11400,0,0,0,4263300,249700,89600
2020,Connecticut,9000,6200,49600,0,199300,2000,0,0,0,2577600,53000,26100
2020,Delaware,1900,1500,14800,0,89700,1000,0,0,0,780600,17900,6600
2020,District of Columbia,2400,1600,14300,0,21900,200,0,0,0,274400,2300,1200
2020,Florida,58200,22400,248500,0,1513000,13100,0,0,0,14925500,433700,127300
2020,Georgia,23500,9400,109000,0,919400,21000,0,0,0,7665100,252800,97600
2020,Hawaii,10700,3200,26400,0,52700,900,0,100,0,948300,18000,6000
2020,Idaho,2300,1700,24900,0,156300,9900,0,0,0,1480700,155700,26900
2020,Illinois,26000,13000,190600,0,1154700,12100,0,0,0,8533600,213600,90600
2020,Indiana,7000,5300,75300,0,774400,13400,0,0,0,4916700,183700,70300
2020,Iowa,2300,2600,36400,0,459900,9500,0,0,0,2402200,125300,69100
2020,Kansas,3100,2400,34000,0,324700,10600,0,0,0,2086800,102900,27700
2020,Kentucky,2600,2100,41300,0,458800,10900,0,0,0,3281300,133700,36500
2020,Louisiana,2000,1200,21600,0,556600,7700,0,0,0,3039100,164900,28000
2020,Maine,1900,2800,22400,0,148500,1200,0,0,0,1001700,34600,10900
2020,Maryland,18000,11900,109700,0,406600,4100,0,0,0,4136000,111700,37900
2020,Massachusetts,21000,15600,122600,0,418900,2100,0,0,0,4697000,75500,36800
2020,Michigan,10600,12500,93400,0,1348900,11200,0,0,0,6728600,217400,62100
2020,Minnesota,10400,6700,83800,0,722800,9100,0,0,0,4162400,161700,43000
2020,Mississippi,800,700,15800,0,381000,5000,0,0,0,2197800,99600,13800
2020,Missouri,6700,5300,77600,0,744100,14000,0,0,0,4442300,212200,52100
2020,Montana,900,600,11200,0,130600,3600,0,0,0,714000,93100,16400
2020,Nebraska,1800,1300,20200,0,262800,7200,0,0,0,1482500,90400,31700
2020,Nevada,11000,4200,42900,0,183700,5100,0,0,0,2036400,99100,28900
2020,New Hampshire,2700,2500,23300,0,135900,1200,0,0,0,1159600,37600,15800
2020,New Jersey,30400,12800,104600,0,548400,2900,0,0,0,6227300,106700,47000
2020,New Mexico,2600,1900,28500,0,197900,6000,0,0,0,1490700,108100,30300
2020,New York,32600,32600,192700,0,1020500,6200,0,0,0,9890800,189900,102600
2020,North Carolina,16200,9300,133400,0,878800,19700,0,0,0,7376600,256300,93400
2020,North Dakota,200,300,4400,0,135600,3700,0,0,0,567200,57700,12500
2020,Ohio,14500,9500,124100,0,1153500,14100,0,0,0,8690900,240900,88900
2020,Oklahoma,3400,1800,30100,0,574100,14800,0,0,0,3126100,190800,60600
2020,Oregon,22800,11800,106100,0,222000,10900,0,0,0,2990200,246200,82600
2020,Pennsylvania,17500,12800,140800,0,953200,9600,0,0,0,8781500,241000,69500
2020,Rhode Island,1600,1600,14100,0,59100,500,0,0,0,785400,13300,7500
2020,South Carolina,4400,3000,49700,0,515600,12200,0,0,0,4004100,127200,56200
2020,South Dakota,400,500,7200,0,139400,4100,0,0,0,688400,65500,19500
2020,Tennessee,7800,4300,68700,0,638600,16500,0,0,0,5218400,181600,50900
2020,Texas,52200,20400,262300,0,3250000,43600,0,100,0,19609700,1107000,163600
2020,Utah,11200,5200,49800,0,231700,8700,0,0,0,2346000,191400,35700
2020,Vermont,2200,2300,13900,0,58800,500,0,0,0,501000,19700,6800
2020,Virginia,20500,11200,157800,0,618500,12200,0,0,0,6646500,183700,46800
2020,Washington,50500,18400,211300,0,424000,18700,0,0,0,5687600,326300,95300
2020,West Virginia,600,700,11900,0,178200,2800,0,0,0,1216500,57800,14200
2020,Wisconsin,6300,5900,82500,0,755700,8700,0,0,0,4494600,175200,41900
2020,Wyoming,300,300,4700,0,77100,3600,0,0,0,456200,77400,18700
2020,United States,1018900,594400,4813700,0,27997200,521600,0,14200,300,231992200,8860500,2486200
