Year,State,Electric (EV),Plug-In Hybrid Electric (PHEV),Hybrid Electric (HEV),Biodiesel,Ethanol/Flex (E85),Compressed Natural Gas (CNG),Propane,Hydrogen,Methanol,Gasoline,Diesel,Unknown Fuel
2017,Alabama,800,1100,30600,0,476700,18500,0,0,0,3750700,131500,49000
2017,Alaska,400,300,5200,0,59400,4400,0,0,0,506800,43200,16400
2017,Arizona,7200,5800,96000,0,484600,16600,0,0,100,4940200,187500,108300
2017,Arkansas,300,600,20000,0,352700,10800,0,0,0,2097400,100100,19800
2017,California,189700,159600,1039300,0,1495800,79300,0,3200,400,28171500,738600,122200
2017,Colorado,8000,5200,79800,0,395500,14800,0,0,0,4256700,232400,83100
2017,Connecticut,3000,3900,45200,0,179800,2900,0,0,0,2715700,57200,29600
2017,Delaware,400,900,11900,0,74900,1300,0,0,0,754200,16900,7000
2017,District of Columbia,800,700,13600,0,23000,300,0,0,0,287400,3000,1200
2017,Florida,15900,13400,219700,0,1318500,16800,0,0,0,14267800,369900,131600
2017,Georgia,14400,5200,92200,0,793600,25100,0,0,0,7435300,218100,108000
2017,Hawaii,5400,1700,23700,0,48400,1300,0,0,0,961200,18100,7000
2017,Idaho,700,800,17700,0,123600,12000,0,0,0,1387400,130600,34500
2017,Illinois,8300,7700,155800,0,1056300,16400,0,0,0,8689700,200300,89700
2017,Indiana,1900,3200,59700,0,645000,17900,0,0,0,4880700,161600,76900
2017,Iowa,600,1500,29000,0,405200,12300,0,0,0,2413800,112500,75400
2017,Kansas,1000,1300,28200,0,277900,13200,0,0,0,2099900,92600,35900
2017,Kentucky,700,1200,33900,0,381500,14500,0,0,0,3319800,120300,44300
2017,Louisiana,600,700,18700,0,512300,10500,0,0,0,3055100,155900,33900
2017,Maine,500,1300,18900,0,120700,1600,0,0,0,1013200,31200,12300
2017,Maryland,4400,6500,91200,0,369400,5500,0,0,0,4056000,105500,42100
2017,Massachusetts,5600,7900,103600,0,356300,3000,0,0,0,4667100,76900,37800
2017,Michigan,2500,12000,72000,0,1300200,17400,0,0,0,6879500,342300,75100
2017,Minnesota,2300,3100,63300,0,595100,12100,0,0,0,3960100,137200,47100
2017,Mississippi,200,300,12800,0,319400,7700,0,0,0,2136700,83400,15100
2017,Missouri,2100,3300,88800,0,709800,19800,0,0,0,4645900,206100,64900
2017,Montana,300,300,10000,0,118100,4900,0,0,0,737900,89000,19700
2017,Nebraska,500,800,15800,0,230800,9100,0,0,0,1475100,82400,35700
2017,Nevada,3100,2000,34400,0,157000,6600,0,0,0,1965700,86900,33800
2017,New Hampshire,600,1500,20300,0,113100,1600,0,0,0,1138200,33600,16100
2017,New Jersey,6900,8100,84900,0,508700,4100,0,0,0,6137800,110500,50300
2017,New Mexico,700,1000,23600,0,173100,7600,0,0,0,1474900,97600,35600
2017,New York,9400,17100,171000,0,960800,8700,0,0,0,9995700,186700,108400
2017,North Carolina,4400,4800,114300,0,727600,24100,0,0,0,7161700,225500,103900
2017,North Dakota,100,200,3700,0,128400,4700,0,0,0,566800,53500,17700
2017,Ohio,3700,5600,98600,0,1010100,19500,0,0,0,8722000,215300,101200
2017,Oklahoma,1200,900,25900,0,624400,18800,0,0,0,3238300,175100,67200
2017,Oregon,10000,6000,90900,0,192900,14500,0,0,0,3130800,229000,91400
2017,Pennsylvania,4400,7500,110100,0,846200,13400,0,0,0,8728400,224600,82400
2017,Rhode Island,400,800,11800,0,49600,600,0,0,0,776800,13300,7900
2017,South Carolina,1200,1600,41900,0,426200,15000,0,0,0,3869600,107800,64600
2017,South Dakota,100,200,5900,0,125700,5300,0,0,0,681900,59700,22600
2017,Tennessee,2900,2100,53400,0,500300,19900,0,0,0,4834800,144000,55200
2017,Texas,16100,10900,217100,0,2813400,56900,0,0,0,18252800,982900,194300
2017,Utah,3600,2500,36700,0,192600,10100,0,0,0,2136000,161000,36200
2017,Vermont,700,1600,12200,0,54600,700,0,0,0,518700,19600,8000
2017,Virginia,5100,6100,136800,0,534100,16500,0,0,0,6707400,173300,60100
2017,Washington,21000,9800,165100,0,362100,23000,0,0,0,5557300,287500,119700
2017,West Virginia,100,400,9700,0,164700,4000,0,0,0,1278100,53800,18400
2017,Wisconsin,2800,3500,67100,0,648900,13000,0,0,0,4530600,159100,49500
2017,Wyoming,100,100,4000,0,68700,4500,0,0,0,448600,71200,21700
2017,United States,377100,344600,4036000,0,24607700,663100,0,3200,500,227415700,8115800,2789800
