Year,State,Electric (EV),Plug-In Hybrid Electric (PHEV),Hybrid Electric (HEV),Biodiesel,Ethanol/Flex (E85),Compressed Natural Gas (CNG),Propane,Hydrogen,Methanol,Gasoline,Diesel,Unknown Fuel
2019,Alabama,2000,1800,33700,0,543900,15900,0,0,0,3806700,144900,44300
2019,Alaska,700,400,5800,0,64000,3200,0,0,0,473700,40100,14600
2019,Arizona,19500,9600,108100,0,571500,14300,0,0,0,5186900,208800,99000
2019,Arkansas,900,1000,21100,0,383000,8000,0,0,0,2059000,105200,16700
2019,California,349700,247300,1154200,0,1698700,76200,0,12700,300,29210100,785800,136900
2019,Colorado,19200,9300,92400,0,447700,12600,0,0,0,4347900,246700,73600
2019,Connecticut,6900,5700,47400,0,196800,2300,0,0,0,2632800,53100,27700
2019,Delaware,1300,1300,13200,0,85500,1000,0,0,0,768600,17200,6800
2019,District of Columbia,1800,1300,13700,0,22500,200,0,0,0,286300,2400,1100
2019,Florida,40300,20400,235300,0,1486600,14200,0,0,0,14726700,408500,139200
2019,Georgia,19000,8400,101800,0,890400,22000,0,0,0,7552700,237500,101800
2019,Hawaii,8800,2900,25800,0,55600,1000,0,0,0,970900,17900,6800
2019,Idaho,1600,1500,21900,0,148600,10500,0,0,0,1453500,147200,25500
2019,Illinois,19300,11600,177300,0,1153600,13400,0,0,0,8665900,209000,98000
2019,Indiana,5100,4700,68900,0,745100,14500,0,0,0,4887900,175900,70700
2019,Iowa,1600,2400,33100,0,448900,10200,0,0,0,2397900,120300,71000
2019,Kansas,2300,2100,31700,0,313500,11300,0,0,0,2094100,98800,29500
2019,Kentucky,1900,1800,38000,0,442000,12000,0,0,0,3309900,129100,38900
2019,Louisiana,1400,1000,19800,0,554400,8500,0,0,0,3030400,162300,30800
2019,Maine,1300,2200,20600,0,141300,1300,0,0,0,1002000,32500,11200
2019,Maryland,13200,10000,100700,0,400600,4400,0,0,0,4068900,107000,39400
2019,Massachusetts,14100,12900,112400,0,400100,2300,0,0,0,4613000,72600,36800
2019,Michigan,6600,12400,86500,0,1353800,13100,0,0,0,6786400,224900,67800
2019,Minnesota,7700,5800,77400,0,704600,10100,0,0,0,4174400,155100,43800
2019,Mississippi,500,600,14400,0,366500,5600,0,0,0,2166800,95100,14800
2019,Missouri,4900,5000,86200,0,764500,15900,0,0,0,4591200,219600,55900
2019,Montana,700,500,10500,0,129000,3900,0,0,0,717800,90900,16800
2019,Nebraska,1300,1100,18200,0,256900,7700,0,0,0,1476500,87000,32400
2019,Nevada,7900,3600,40100,0,181300,5700,0,0,0,2037600,95500,32000
2019,New Hampshire,1900,2200,21900,0,133100,1300,0,0,0,1156800,35000,15700
2019,New Jersey,20200,11700,99900,0,561100,3300,0,0,0,6384100,110900,51400
2019,New Mexico,1900,1600,26800,0,194100,6400,0,0,0,1490400,104300,31600
2019,New York,23000,28000,182800,0,1027800,7000,0,0,0,9935300,186100,107200
2019,North Carolina,11600,8100,126600,0,846400,20600,0,0,0,7311100,242600,96300
2019,North Dakota,200,200,4000,0,135800,4000,0,0,0,563900,56700,14000
2019,Ohio,10200,8600,114500,0,1127400,15800,0,0,0,8735800,231500,92200
2019,Oklahoma,3400,1600,28500,0,621500,15700,0,0,0,3228200,186900,62000
2019,Oregon,18800,10400,102000,0,222400,12100,0,0,0,3125800,243500,80100
2019,Pennsylvania,12000,11200,126300,0,931800,10500,0,0,0,8676900,234000,72900
2019,Rhode Island,1100,1300,13100,0,57700,500,0,0,0,792000,13100,7800
2019,South Carolina,3000,2600,46500,0,493800,13000,0,0,0,3954600,119000,59600
2019,South Dakota,300,400,6600,0,137000,4500,0,0,0,683200,63200,20000
2019,Tennessee,5700,3600,64300,0,611900,17400,0,0,0,5160900,172700,53000
2019,Texas,38400,18100,244600,0,3200700,47300,0,100,0,19293900,1070200,178000
2019,Utah,8000,4400,45300,0,230100,9200,0,0,0,2291100,183300,36300
2019,Vermont,1700,2000,13300,0,59100,600,0,0,0,509000,19400,7400
2019,Virginia,15000,9800,151000,0,603200,13600,0,0,0,6750300,178400,52200
2019,Washington,40400,16100,193400,0,408800,19600,0,0,0,5612100,308700,100300
2019,West Virginia,400,600,10900,0,177300,3100,0,0,0,1234300,56300,15400
2019,Wisconsin,4700,5300,76200,0,733700,10100,0,0,0,4519800,168800,45300
2019,Wyoming,200,200,4200,0,75100,3800,0,0,0,452800,75400,19100
2019,United States,783600,536600,4512900,0,27540700,560700,0,12800,300,231358800,8550900,2601600
