Year,State,Electric (EV),Plug-In Hybrid Electric (PHEV),Hybrid Electric (HEV),Biodiesel,Ethanol/Flex (E85),Compressed Natural Gas (CNG),Propane,Hydrogen,Methanol,Gasoline,Diesel,Unknown Fuel
2016,Alabama,500,900,29100,0,428300,20100,0,0,0,3777300,126500,53900
2016,Alaska,200,200,5000,0,55700,4900,0,0,0,525900,44800,19400
2016,Arizona,4700,4400,89600,0,427300,17500,0,0,100,4805000,179500,112800
2016,Arkansas,200,500,19100,0,320500,12600,0,0,0,2097800,96800,22200
2016,California,141500,116700,966700,0,1322600,80600,0,1300,400,27241000,710400,115500
2016,Colorado,5300,3800,74000,0,355500,15900,0,0,0,4180500,226800,89900
2016,Connecticut,2000,2800,43200,0,160800,3200,0,0,0,2690900,59700,30200
2016,Delaware,300,700,11200,0,68300,1400,0,0,0,749800,17000,7200
2016,District of Columbia,600,500,11800,0,17600,300,0,0,0,277800,3200,1300
2016,Florida,11600,10100,207100,0,1168900,18000,0,0,0,13929200,353300,133600
2016,Georgia,18000,4000,86400,0,710700,26900,0,0,0,7377700,206700,114800
2016,Hawaii,4200,1200,22600,0,43600,1500,0,0,0,953300,17800,7400
2016,Idaho,400,600,16300,0,107100,12800,0,0,0,1354300,123000,56200
2016,Illinois,5800,6000,146500,0,968600,18500,0,0,0,8748600,200900,94500
2016,Indiana,1300,2400,54500,0,569300,19900,0,0,0,4855200,156800,82500
2016,Iowa,400,1200,26900,0,367400,13400,0,0,0,2418600,107600,80600
2016,Kansas,600,1000,26200,0,250600,14200,0,0,0,2095000,90000,42400
2016,Kentucky,500,900,30900,0,336000,15600,0,0,0,3285300,115200,47500
2016,Louisiana,400,500,17700,0,469700,11900,0,0,0,3047300,152400,36600
2016,Maine,300,1000,17900,0,104700,1700,0,0,0,1011700,31000,12900
2016,Maryland,3200,5000,85900,0,327800,6100,0,0,0,4039100,105200,44500
2016,Massachusetts,3600,5200,98300,0,315600,3400,0,0,0,4623900,79000,38800
2016,Michigan,1600,11600,64900,0,1186000,19800,0,0,0,6902900,190800,81100
2016,Minnesota,1600,2400,58900,0,549600,13600,0,0,0,3981400,135100,51900
2016,Mississippi,100,200,11800,0,279600,9500,0,0,0,2106700,78300,16300
2016,Missouri,1400,2100,63800,0,589600,21800,0,0,0,4597300,194200,71300
2016,Montana,200,200,9800,0,111700,5400,0,0,0,750600,87600,22600
2016,Nebraska,300,600,14500,0,208300,9900,0,0,0,1468900,79800,38300
2016,Nevada,2000,1400,30700,0,138800,7100,0,0,0,1923600,83000,36000
2016,New Hampshire,400,1000,19200,0,100900,1800,0,0,0,1132600,34300,16900
2016,New Jersey,4200,5500,80900,0,470400,4400,0,0,0,6001300,111500,51600
2016,New Mexico,500,600,20800,0,142300,7800,0,0,0,1375900,88400,37200
2016,New York,6100,12100,166500,0,895500,10200,0,0,0,10013300,191300,112600
2016,North Carolina,2900,3600,107400,0,642800,26100,0,0,0,7095700,218900,108900
2016,North Dakota,0,100,3400,0,118500,5100,0,0,0,566300,51900,20200
2016,Ohio,2600,4400,91900,0,909400,21600,0,0,0,8740000,209700,109200
2016,Oklahoma,600,700,24800,0,599800,20300,0,0,0,3277300,171700,73100
2016,Oregon,7700,4300,83300,0,168600,15500,0,0,0,3077900,220300,100900
2016,Pennsylvania,3200,5400,103200,0,776400,15300,0,0,0,8767400,223100,90200
2016,Rhode Island,300,600,11000,0,44300,700,0,0,0,778200,14000,8500
2016,South Carolina,800,1200,39300,0,373900,16100,0,0,0,3814700,102900,67900
2016,South Dakota,100,200,5300,0,113100,5700,0,0,0,667200,56200,24200
2016,Tennessee,2600,1700,48400,0,442400,21300,0,0,0,4772600,137900,59800
2016,Texas,11900,8000,205800,0,2596600,64700,0,0,0,18245400,961200,213100
2016,Utah,2500,1700,32700,0,172900,10800,0,0,0,2072100,150800,38700
2016,Vermont,300,1200,11600,0,49300,800,0,0,0,521600,20200,8400
2016,Virginia,3100,4200,126700,0,463300,17900,0,0,0,6554200,168900,64900
2016,Washington,14900,6400,143400,0,304100,24400,0,0,0,5329200,272100,133900
2016,West Virginia,100,300,9200,0,150300,4400,0,0,0,1286500,52000,21600
2016,Wisconsin,2600,2600,61700,0,579200,14400,0,0,0,4500500,154400,52900
2016,Wyoming,100,100,3800,0,64100,4800,0,0,0,448600,69900,23700
2016,United States,280300,254000,3741600,0,22138300,721600,0,1300,500,224855100,7734000,3000600
