Vehicle ID,Fuel ID,Fuel Configuration ID,Manufacturer ID,Category ID,Model,Model Year,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Transmission Type,Engine Type,Engine Size,Engine Cylinder Count,Engine/Motor(s) Description,Manufacturer,Manufacturer URL,Category,Fuel Code,Fuel,Fuel Configuration Name,Electric-Only Range,PHEV Total Range,PHEV Type,Notes,Drivetrain,Charging Rate Level 2 (kW),Charging Rate DC Fast (kW),Charging Speed Level 1 (miles added per hour of charging),Charging Speed Level 2 (miles added per hour of charging),Charging Speed DC Fast (miles added per hour of charging),Battery Voltage,Battery Capacity Amp Hours,Battery Capacity kWh,Seating Capacity,,,,
13014,41,1,237,27,Model 3 (Long Range) AWD,2022,134,126,131,,,,Auto,e-motor,98 kW and 195 kW electric motors,,"98 kW and 195 kW electric motors; 
235 Ah battery",Tesla,https://www.tesla.com/models/design,Sedan/Wagon,ELEC,Electric,Dedicated,353,,,,AWD,,,,,,,,,,,,235,301
12626,41,1,237,27,Model 3 Long Range AWD,2021,141,127,134,,,,Auto,e-motor,131 and 190 kW electric motors,,"131 kW and 190 kW electric motors;
235 Ah battery",Tesla,https://www.tesla.com/models/design,Sedan/Wagon,ELEC,Electric,Dedicated,353,,,,,,,,,,,,,,,,232,310
12958,41,1,239,27,EQS450+,2022,97,97,97,,,,Auto,e-motor,245 kW electric motor,,"245 kW electric motor;
282 Ah battery",Mercedes-Benz,https://www.mbusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,350,,,,RWD,,,,,,,,,,,,232,238
13277,41,1,237,29,Model X,2023,,,91-102,,,,Auto,e-motor,243 and 248 kW or 231 kW (x3),,243 and 248 kW electric motors or 231 kW electric motors (x3),Tesla,https://www.tesla.com/models/design,SUV,ELEC,Electric,Dedicated,348,,,"Includes Plaid and models with 20"" and 22"" wheels",AWD,11.5,250,3,33,570,410,256,104,7-May,,,227,271
13011,41,1,237,27,"Model S Plaid (21"" Wheels)",2022,102,99,101,,,,Auto,e-motor,250 kW electric motors (X3),,"250 kW electric motors (X3);
256 Ah battery",Tesla,https://www.tesla.com/models/design,Sedan/Wagon,ELEC,Electric,Dedicated,348,,,,AWD,,,,,,,,,,,,222,235
13019,41,1,237,29,Model X AWD,2022,107,97,102,,,,Auto,e-motor,243 and 248 kW electric motors,,"243 and 248 kW electric motors;
256 Ah battery",Tesla,https://www.tesla.com/models/design,SUV,ELEC,Electric,Dedicated,348,,,,AWD,,,,,,,,,,,,222,228
12776,41,1,237,27,"Model S Plaid (21"" Wheels)",2021,102,99,101,,,,Auto,e-motor,250 kW electric motors (X3),,"250 kW electric motors (X3);
256 Ah battery",Tesla,https://www.tesla.com/models/design,Sedan/Wagon,ELEC,Electric,Dedicated,348,,,,AWD,,,,,,,,,,,,222,228
12366,41,1,237,27,"Model S Performance (19"" Wheels)",2020,104,104,104,,,,Auto,e-motor,193 kW and 205 kW electric motor,,"193 kW and 205 kW electric motor;
245 Ah battery",Tesla,https://www.tesla.com/models/design,Sedan/Wagon,ELEC,Electric,Dedicated,348,,,"This model is also available with 21"" wheels, at reduced fuel economy and 326 miles range.",,,,,,,,,,,,,217,246
12248,41,1,237,27,"Model S Performance (19"" Wheels)",2019,104,104,104,,,,Auto,e-motor,193 kW and 205 kW electric motor,,"193 kW and 205 kW electric motor;
245 Ah battery",Tesla,https://www.tesla.com/models/design,Sedan/Wagon,ELEC,Electric,Dedicated,345,,,,,,,,,,,,,,,,209,275
12625,41,1,237,29,"Model X Performance (20"" Wheels)",2021,100,95,97,,,,Auto,e-motor,151 and 273 kW electric motors,,"151 kW and 273 kW electric motors;
305 Ah battery",Tesla,https://www.tesla.com/models/design,SUV,ELEC,Electric,Dedicated,341,,,"This model is also available with 22"" wheels, at reduced fuel economy and 300 miles range.",,,,,,,,,,,,,208,242
13236,41,1,239,27,EQS 450 4MATIC,2023,101,105,103,,,,Auto,e-motor,TBD,,TBD,Mercedes-Benz,https://www.mbusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,340,,,,AWD,9.6,200,3,27,456,396,282,111,5,,,206,246
12959,41,1,239,27,EQS 580 4MATIC,2022,92,99,95,,,,Auto,e-motor,135 and 255 kW electric motors,,"135 kW and 255 kW electric motors;
282 Ah battery",Mercedes-Benz,https://www.mbusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,340,,,,AWD,,,,,,,,,,,,191,207
12177,41,1,237,27,Model S 100D,2019,101,102,102,,,,Auto,e-motor,193 kW electric motor (X2),,"193 kW electric motor (X2);
245 Ah battery",Tesla,https://www.tesla.com/models/design,Sedan/Wagon,ELEC,Electric,Dedicated,335,,,,,,,,,,,,,,,,185,225
13020,41,1,237,29,"Model X Plaid (20"" Wheels)",2022,103,93,98,,,,Auto,e-motor,230kW electric motors (X3),,"230kW electric motors (X3);
256 Ah battery",Tesla,https://www.tesla.com/models/design,SUV,ELEC,Electric,Dedicated,333,,,,AWD,,,,,,,,,,,,181,226
13278,41,1,237,29,Model Y AWD,2023,,,111-123,,,,Auto,e-motor,91/133 kW and 179/200 kW motors,,91/133 kW and 179/200 kW electric motors,Tesla,https://www.tesla.com/models/design,SUV,ELEC,Electric,Dedicated,330,,,Includes Performance and Long Range models,AWD,11.5,250,4,41,712,360,235,84,7-May,,,,
13017,41,1,237,29,Model Y (Long Range) AWD,2022,127,117,122,,,,Auto,e-motor,91 and 200 kW electric motors,,"91 and 200 kW electric motors;
235 Ah battery",Tesla,https://www.tesla.com/models/design,SUV,ELEC,Electric,Dedicated,330,,,,AWD,,,,,,,,,,,,,
12372,41,1,237,27,Model 3 Long Range,2020,136,123,130,,,,Auto,e-motor,211 kW electric motor,,"211 kW electric motor;
230 Ah battery",Tesla,https://www.tesla.com/models/design,Sedan/Wagon,ELEC,Electric,Dedicated,330,,,,,,,,,,,,,,,,,
13318,41,1,470,25,R1T,2023,,,64-73,,,,Auto,e-motor,162 kW (x2) and 163 kW (x2),,162 kW (x2) and 163 kW (x2) electric motors,Rivian ,,Pickup,ELEC,Electric,Dedicated,328,,,"Includes 20"", 21"", and 22"" wheel options",AWD,11.5,210,2,24,344,400,360,144,5,,,,
12364,41,1,237,29,Model X Long Range,2020,99,93,96,,,,Auto,e-motor,193 and 205 kW electric motor,,"193 and 205 kW electric motors;
250 Ah battery",Tesla,https://www.tesla.com/models/design,SUV,ELEC,Electric,Dedicated,328,,,,,,,,,,,,,,,,,
